Actual_Calories,Predicted_Calories
62.0,64.13
189.0,192.14
156.0,161.13
38.0,38.23
26.0,25.89
105.0,104.89
13.0,13.5
7.0,6.72
107.0,107.24
184.0,185.26
186.0,184.03
31.0,31.84
153.0,158.42
73.0,72.57
230.0,233.69
14.0,12.98
132.0,136.41
156.0,152.85
117.0,118.84
155.0,156.0
84.0,81.97
177.0,175.17
71.0,69.98
144.0,145.8
20.0,19.85
41.0,39.29
20.0,19.24
90.0,92.17
63.0,62.12
118.0,116.42
73.0,73.9
4.0,4.28
4.0,4.05
35.0,33.18
175.0,171.72
48.0,47.54
179.0,180.88
210.0,206.59
64.0,66.8
128.0,127.84
20.0,16.7
2.0,1.86
111.0,109.4
108.0,106.33
223.0,220.74
142.0,151.43
78.0,77.14
201.0,199.7
139.0,138.12
6.0,6.82
27.0,25.96
110.0,108.87
140.0,142.0
88.0,87.7
137.0,144.6
161.0,170.5
2.0,2.86
147.0,153.49
30.0,30.93
198.0,199.55
5.0,5.66
109.0,105.41
138.0,138.09
170.0,177.62
34.0,35.3
36.0,31.87
112.0,105.6
91.0,86.89
153.0,151.67
124.0,123.44
171.0,174.34
26.0,31.09
11.0,10.99
16.0,16.23
62.0,59.27
3.0,3.1
6.0,4.45
99.0,98.37
130.0,129.88
31.0,31.24
180.0,192.27
48.0,44.26
178.0,190.32
26.0,24.12
56.0,59.17
98.0,97.25
105.0,101.6
129.0,127.58
46.0,45.31
162.0,167.8
23.0,20.86
84.0,82.11
34.0,36.03
196.0,192.73
200.0,196.65
3.0,3.38
91.0,91.01
91.0,91.35
61.0,59.84
34.0,33.34
33.0,33.3
230.0,228.37
120.0,123.61
166.0,159.86
3.0,4.37
146.0,147.11
26.0,25.63
3.0,4.88
6.0,6.2
25.0,25.29
22.0,21.45
168.0,172.77
47.0,45.91
44.0,42.93
45.0,43.67
66.0,65.53
41.0,43.25
95.0,91.85
131.0,135.72
7.0,5.71
51.0,51.13
80.0,77.8
35.0,33.98
166.0,161.15
24.0,23.67
81.0,79.56
134.0,133.53
138.0,137.02
121.0,114.38
42.0,43.67
72.0,70.43
62.0,63.66
92.0,91.85
15.0,16.13
181.0,179.58
119.0,134.3
41.0,40.57
37.0,37.82
104.0,100.99
1.0,2.81
61.0,63.93
113.0,114.84
7.0,6.58
131.0,135.96
31.0,31.23
49.0,48.42
52.0,54.56
83.0,84.92
57.0,58.32
103.0,102.72
91.0,89.94
10.0,13.14
70.0,69.77
65.0,64.24
93.0,94.59
128.0,139.62
11.0,11.03
10.0,9.93
29.0,29.02
50.0,48.54
103.0,104.15
151.0,149.47
17.0,18.36
159.0,155.41
90.0,87.7
51.0,48.03
69.0,62.99
220.0,208.62
17.0,16.33
69.0,71.01
11.0,11.73
196.0,194.85
14.0,13.82
78.0,75.16
49.0,45.72
14.0,13.57
10.0,10.47
137.0,136.74
90.0,94.8
97.0,98.06
33.0,34.85
